	name	mapID	1	1#1	1#10	1#11	1#2	1#3	1#4	1#5	1#6	1#7	1#8	1#9	10#1	11	11#1	11#2	11#3	11#4	11#5	11#6	11#7	11#8	12	13#1	13#2	13#3	13#4	13#5	13#6	13#7	13#8	14	14#1	14#10	14#2	14#3	14#4	14#5	14#6	14#7	14#8	14#9	15	15#1	15#2	15#3	15#4	15#5	15#6	15#7	15#8	16	16#1	16#10	16#11	16#12	16#2	16#3	16#4	16#5	16#6	16#7	16#8	16#9	17	17#1	17#2	17#3	17#4	17#5	18	19	19#1	19#2	19#3	19#4	2#1	2#10	2#11	2#12	2#13	2#2	2#3	2#4	2#5	2#6	2#7	2#8	2#9	20	20#1	20#2	20#3	20#4	20#5	20#6	20#7	20#8	20#9	21#1	21#2	21#4	22	22#1	22#2	22#3	22#4	22#5	22#6	23	23#1	23#2	23#3	23#4	23#5	23#6	24	24#1	24#2	24#3	25	25#1	25#2	25#3	25#4	25#5	25#6	25#7	25#8	25#9	3	3#1	3#2	3#3	3#4	3#5	4	4#1	4#10	4#11	4#12	4#13	4#14	4#15	4#16	4#17	4#18	4#2	4#3	4#4	4#5	4#6	4#7	4#8	4#9	5	5#1	5#2	5#3	5#4	6	6#1	6#2	6#3	6#4	7	7#1	7#2	7#3	8	8#1	8#2	8#3	8#4	8#5	9#1#1	name
0	90c5a34f06ac86aee0fd70e2adce7d8a	1	4482	415	249	2241	2822	498	249	12367	83	166	4316	166		10956	1992	7221	6640	30544	2822	18924	2490	36188					19173				1660	4399		664	83	1245			1909	1909	83	83	6059		4150	11537	249		5644	1411		7636	83	15521	9711	3818	332	332	7968					332	2988	249	12201	498	3569	20999		55859	1826	1245	27722	581	83	2490	1826	4648	249	9213	415	249	1079	1245	1826	166		33449	8217	6557		11703	5561	830	11952	118690					2324	498	2324	83	1328	913		913	498	83	498	249	996	249	1245	133713	5727	166	3652			581		249	415	4980	1909	6142		3652	166	166			13031	664	4067	3569	83	7387	2656		664	4150	4648	1328	1743	166	4814	913	1743	747	2988	249	4731	83	3569	83	8466	1826	664		830	6640				166	664	8798	5229	7387	83		74c1c25f4b283fa74a5514307b0d0278
1	f2c8c4bb99e6377d21de71275afd6cd2	2	83	332		83	83		166		249	83	332			332	498			166			332	2324					913				83	4731		415		249			913	5312	83	249	332		249	415	83		249	415		415		2158	415	1245	166		1079								83			166		8051	415	498	2075	332		332		249	166				83	83	166			83	996	747			83		249	249		83	415							83							83		83	249			415						83	249		83		2739					664	83					83		166	664	83	249					1162				83		83	83	83					2324						249		166			08f5b445ec6b29deba62e6fd8b0325a6
2	58c7a4888306d8ff3a641d1c0feccbe3	3		166		166	83		83	913			664			996	83	166	83	1162	83	1328	166	4565					2241				166			166					332				747		1411	2656	166		664	249		996		664	1909	1743		166	2822				166	166	166		1079			1245		15521	2241	498	3901	415		913	83	498		415		83	249	332	498		83	4316	4316	166		1162	664	166	2241	5478		83			415		332	498	581	83			83				83		913	6972			332	83		83		166		830	415	1162	83	4565		83			2158	332	83	166	83	83	415		249	747	664	498	249	83	166			249			332		166	83	249	83				2573						996		830			4b7f6f4e2bf237b6cc58f57142bea5c0
3	b26a240205c852804ff8758628c0a86a	4	166			498	166		83	664	83		83			996		332	83	2905		1079	332	5395					1494							83		83			332				1328		332	1909	83		415	498		1328		332	664	1660		249	1826						166		1328			332		27639	2075	249	3320	332	83	415		332	83	498	332		249	166	249			5810	5063	498		2075	581		7055	10209		83			2407	83	581	332	2158	1245							166		332	2490	83	83	581			83			166	913	332	1577		2739		83			1494		249	83			664		249	83	581	996			166	249	83	249			581				996	249		83		1494				83	166	996	166	747			a814069db8d32f0fa6e188f41059c6e1
4	4b9e4cf2fbdc8281b8a1f9f12b80ce4d	5				332	83			83						166						83	83	581					747								249	83			166				332		664	913			83		83	1577		747	498	332	83	83	1660									83		83		8964	1162		830	581		249		166					249		249	83		249	664	166		415	83		581	913		83	83		249	83			83	83							166			996	747		83							332		664	83	3403		83			581	166							83	332	415	83												83	166					2158						332	166	332			8316146a6f78cc6d9f113f0390859417
5	1cbfbdd079ef93e74405c53fcfff8567	6	83			249	166		83	498			415	83		498	83	498		1660		581		2158		83		83	1162								166	83			332				581		249	1162	83		249	166	83	415	83		83	913		332	581			249			166		747			332		7470	1992		830	83	83	332		581		249			415		83			2905	1494	498		2241	747		4482	13114					415	83	249	83	249	249							166			498	83	83	415							747		830		2656		83			498	249	83	166		83	581		332	83	581	166			415			83					83		498					1909						581	166	830			693a21b16653871bbd455403da5412b4
6	929ec6c160e6f52c20a4217c7978f681	7									83																		83	166	166										83				83															83	83				166									581	166					83																																											83							83		83		498														83																				166		83						83			a735449c5c09df639c35a7d61fad3ee5
7	82cc4851f9e4faa4e54309f8bb73fd7c	8	83			581		83		332			415			1245			249	4565		1079	415	3569					4067		83		83												249		332	166			83	83		166		166	1245	83		166	166						83		664		83	166		4897	415		747	415	83	249		747	332	83	83		83	83				1079	1328	415		249	332		166	1079					83			83											166	830	166	415	83			83				166	249	249	83	1245					415	166		83			83		83	249	498	249							83		249		415		747	83		83		2075						664	83				d05052b4bda7662a084f235e880f50fa
8	b702e920dcd2765e624dc1ce3a770512	9				166		83		249				83		83		83	83	996		166		1079					747	249	166		166															83						166		249	166	498		83	581				166				166					4233			913			83				415			83	83				2324	664	83		415		166	249	10956					166					166									83	664												166		166			83											166		1245													166	83			83	2241		83				83					1c60154546102e6525f68cb4f31e0657
9	4f4041f7db0c7f69892d9b74c1a7efa1	10			83	498	166	83		1245			830	83		830	249	332	249	2656		249	498	3237					2988					166			83	249							1909		1411	2324	332		996	830		1660		1577	415	747		332	1826		83				166		1079		83	664		17513	415	83	2241	249		332	83	249		747			166	166	83			2075	3071	332		1162	830		2158	3901			332		747	83	581	664	747	166		415			83		83		249	4482	249		415			83				249	83	1162		3652		83			1494	249		249		1079	332		83	332	830	332	83		249			83	83		498		166		830				83	5478						415		581			2301bc920194c95cf0c7486e5675243c
